Date/Time,Media Description,Media Link
"You uploaded a feed photo on February 11, 2026 at 1:25 PM (GMT)","All those wireframes, prototypes, user flows. They were shadows on a wall. Beautiful postcards from an imagined, bright future. But someone else decided if they'd become real. Someone else built them. Or didn't.

I was designing in a simulation.
Then something shifted.

I built my first actual product last month. Not a prototype. Not a handoff. A real thing that real people can use. I wrote the prompts, debugged the errors, shipped the features. The gap between ""I have an idea"" and ""here's the thing"" just... collapsed.

This is what people meant when they said ""designers should learn to code."" I thought it was about syntax and Git commits. Turns out it's not about that at all. It's about closing the loop. Seeing your idea break in real time, fixing it, watching it work. That immediate feedback cycle.

The Matrix metaphor isn't just for the image. I literally feel like I took a red pill. The old world where I hand off designs and hope they survive, that world still exists. I can see it. But I'm not in it anymore.

I'm not saying everyone needs to build. But if you've ever felt that frustration, you know what I mean. The thing you designed getting lost in translation, simplified, postponed, killed. This is the unlock. AI didn't just give me a tool. It gave me the ability to close my own loops. To go from idea to real thing without waiting for someone else to make it happen.

I'm documenting the whole thing. Ten weeks, ten builds, every wall I hit and how I got past it. Successes and failures, everything that actually happens when you try to build for real. First one drops Friday.

What about you? Still designing in the simulation, or have you started building for real?",
"You uploaded a feed photo on February 9, 2026 at 3:08 PM (GMT)","Teaching UX Turned Me Into a Learning Designer (And I Had No Idea What I Was Doing)

This fall I taught two courses for Nackademin ? UX/UI and Information Architecture. With my long experience in UX/UI and product design it should have been a piece of cake. Right?

It turned out to be anything but.

Knowing something is completely different than explaining it in a clear, pedagogical and interesting way.To teach UX design I needed to apply learning design. But where to start and what framework to use? Flipped classroom, Bloom's taxonomy or ADDIE?

I had so many questions, no answers, and no time to start learning learning design from scratch.AI to the rescue.

I brought the UX expertise. Claude helped me structure it and build out the course in Notion. We worked through Bloom's taxonomy, applied flipped classroom mentality, refined learning objectives, designed assignments, caught gaps I'd missed. Back and forth, iteration after iteration.
It wasn't AI doing my work. It was co-creation. I knew what I wanted to achieve, inspired by all the good teachers I've had. AI helped me build it faster and more thoroughly than I could have alone, finding gaps and making it all fit together.

? Here's what I learned: AI is best when you already know what good looks like.
I couldn't have designed these courses without my UX expertise. But I also couldn't have built them this fast, this thoroughly, without Claude as a co-creator.

The designers who win with AI aren't the ones striving for efficiency, doing the same things but faster. They're the ones using their expertise to build things they couldn't build before.",
"You uploaded a feed photo on February 4, 2026 at 1:44 PM (GMT)","Six months of learning Python, statistics, and ML theory. Zero products shipped. Zero real users. Just tutorials and planning. My board?Pieter Levels, John Maeda, Ethan Mollick, Jason Fried, Herminia Ibarra, Roger Martin, Justin Sung, Blair Enns?people I admire and trust. 

Pieter: ""You've been learning for 6 months and shipped zero products. That's not learning, that's hiding.""

He was right. I was stuck in planning limbo. Exactly what I tell my students not to do. Here's what changed: I'm not ""a UX designer learning AI"" anymore. I'm an AI product builder who understands users deeply. Different identity. Different position. 

The reality: I need a LIA internship by October. I need a portfolio to get it. I need to ship actual products to build a portfolio. So I better get started, like yesterday. 

First project: Writer Coach. Ships in 14 days. It's a tool that coaches you to improve your writing instead of rewriting it for you. Asks questions. Points out what's unclear. Suggests improvements. But you do the work. No AI slop. Better thinking. 

Why this matters: Most AI writing tools replace human thinking. This one amplifies it. AI should make humans better, not obsolete. That's the intersection between UX and AI that I care about. 

Stay tuned for more details about the app. 

PS: Do you want more details on how to build your own board of experts? Let me know in the comments.
",
"You uploaded a feed photo on November 10, 2025 at 9:52 AM (GMT)","The AI Quadrant:?
Why Both the Hype Squad and the Doomers Are Selling You Half-Truths

There?s a 2x2 grid I keep thinking about. One axis is optimism-to-pessimism. The other is whether people are understating or overstating what AI actually does. The tech-bros and doomers are both cherry-picking from the same messy reality. The actual work is learning to navigate the jagged edges yourself instead of outsourcing your judgment to either camp. 

Top right: The exaggerated optimism. 
Home of the tech-bros. Cure cancer, solve poverty, AGI saves humanity (and also makes them rich?total coincidence, right?). The good part? It?s inspiring. It makes you imagine a future beyond our current constraints. The bad part? It?s also convenient. It justifies whatever resources and power grabs happen in the name of ?national security? and ?human survival.?

The bottom-right: The exaggerated pessimism. 
Say hi to AI doomers. AI becomes Skynet, replaces your job, turns the planet into paperclips. Again, there?s something real here?the labor exploitation, environmental costs, copyright theft, and regulatory chaos are actually happening. But exaggeration paralyzes people instead of empowering them to solve the problem.

Top left: The oversimplified optimism: 
?It?s just a tool, like a pen.? Comforting, sure. But a pen can?t write your paper for you. A pen doesn?t hide what it?s doing inside a black box. The charm of this view is it makes AI less scary. The problem? It lets you stop asking questions.

Bottom left: The oversimplified pessimism: 
?It?s just a stochastic parrot, nonsense, AI slop.? The value here is warranted skepticism. The problem is it misses what AI actually is good at, right now, and ignores the speed of improvement.

So who?s right? Everyone. And no one.

The jagged frontier of AI (term popularized by Ethan Mollick) is that it excels at some tasks and fails spectacularly at others?often in ways nobody predicted. Right now, the only honest move is to stop letting the zealots and skeptics narrate your relationship with it. Learn what it actually does. Build your own grid. Make your own bets. Just make sure to keep exploring, with both the optimistic AND the skeptical view. ",
"You uploaded a feed photo on October 23, 2025 at 9:36 AM (GMT)","Throwback Thursday. I just completed my first exam in decades. Glad to see that my brain still works after the code overload(). print(""I made it."")",
"You uploaded a feed photo on October 15, 2025 at 8:58 AM (GMT)","Today's investment priorities seem a bit upside down. 

1. Invest everything in AI and hope for the best. 
2. ?
3. Profit and save the world. 

It's the South Park gnomes alla over again. ",
"You uploaded a feed photo on October 7, 2025 at 12:08 PM (GMT)","The best way to learn something is to teach it to someone else. This is well known fact, still I get surprised how true it actually is. I just started teaching a short course in Information Architecture for UX students. During my long career as UX designer, IA has never been a big subject. The main focus has bees users tests and prototypes, while the overall information structure has usually been already set (in stone). Optimistically overconfident in my UX expertise, I accepted the job on the spot. ""How hard can it be to do some sitemaps and card sorting exercises? Beam me up, Scotty.""

Shocker: It was a bit more to it than that.

Creating a thorough understanding
Just thinking that you know something is not the same thing as knowing that you can easily explain to someone else. I really needed to understand both the big picture and the details, and just then find a good way to explain it. 

Filling in the gaps
No matter how many years you have been working with something, there are still things you missed in the basic training. Maybe just putting a name, structure or process around the things you do automatically. 

Making it relevant. Why should anyone care?
IA is probably the most important and least talked about UX field. All the talk about Figma, empathy and prototypes. So my job is to be Neo, to show the code behind the matrix, to create a stable structure that will support all the nice user experiences. There will probably not be an IA job, or title waiting. Nobody will mention it during a job interview or in the job description. But ignoring IA is like removing one of the key tools in you skillset. 

Make it fun
Even important stuff can be boring. Even if I?m old and boring my lessons don?t have to be. Finding the right amount of variation between theory, exercises, interaction and own responsibility is the key. This is design on a higher level. Learning design by teaching design. 

So how do you teach others? Any tips to a happy beginner? 

PS: Just a quick apology to my current students for being my lab rats. 
Don?t panic. 
You will be just fine. ;-)?",https://media.licdn.com/dms/image/v2/D4D22AQGoAepWpKVJPA/feedshare-shrink_480/B4DZm.ksk.JYAY-/0/1759838917526?e=1779926400&v=beta&t=VESQfMOF7uUunI4GilFcZMM_gW6f9HY6QmbS5YyQq6s
"You uploaded a feed photo on October 3, 2025 at 8:45 AM (GMT)","Is AI?expanding or eroding reality??
We?passed the Turing test without anyone noticing. Now AI is about to pass the second ?Turing test?, generating media content indistinguishable from reality.?It?s not perfect, yet, but the technology has come a long way since six fingers and Will Smith?s spaghetti monster. The recent release of Sora 2 was another ?oh shit? moment that got me both excited and scared. We are definitely entering an uncharted territory where reality is just a point of view. 

How can this possibly go wrong??
Both Meta and Open AI are leaning heavily into social networks entirely generated by AI. Not even your ?friends? or followers need to be real, at least in Meta?s vision. The implications of this ?second? reality are unknown. With the huge negative consequences of social medias in mind, what black holes are being opened with letting everyone live in a fantasy? Why making interact with the harsh, unpredictable real reality when you can make your own? Friends that always support you, perfect partners that never leave your side and limitless entertainment tailored just for you.?
It feels like we are doing the Matrix backwards, leaving reality behind to enter a simulation. This time we probably won?t even get a choice. 

This is probably the best comment on the whole matter. Warning: satiric NSFW language.?Eat your slop piggies. https://lnkd.in/dByEU4da
",https://media.licdn.com/dms/image/v2/D4D22AQG5wcUlxoT8pw/feedshare-shrink_480/B4DZmpPx6SIEAY-/0/1759481113487?e=1779926400&v=beta&t=TzqFNSwCgNxbU1OZM9fDkjfl1CUmrA8oIN-oaAsxYFM
"You uploaded a feed photo on September 29, 2025 at 4:27 PM (GMT)","AI usage is no longer a nice to have, but a requirement, at least if you want to keep your job. I only hope that the companies are going to provide the necessary training, scaffolding and strategy to help those that want to make this transition. Hopefully NOT put all the responsibility and blame on individuals for not meeting some unclear productivity goals set up by invisible management. Accenture is just leading the way for how the future is going to unfold. Like it or not, the AI is here to stay. Let?s do our best to stay here as well. 

https://lnkd.in/dRdMek9c",https://media.licdn.com/dms/image/v2/D4D22AQEgn7RTar6rMg/feedshare-shrink_160/B4DZmWTPMMJcAc-/0/1759163254921?e=1779926400&v=beta&t=eZ0wmCCI7BU4Yb6rRZRhK__-ogBxHBnSrIvUpjS6cik
"You uploaded a feed photo on September 11, 2025 at 12:50 PM (GMT)","Thanks a lot Terry Y. Han, Oscar Mattisson and Twain Studios for the fun and insightful meetup / mini hackathon. We were around 15 UX people eager to learn and share our experience from AI and UX. It was really inspiring to see all the the solutions people come within just an hour. 

I can only share what me and Azam did in our group, the other solutions were just as good or better. 

The task was to make the recommendation system for either Spotify or IKEA more transparent for the user. Where do all the suggestions come from and can I change it in any way? 

Our take was to redesign the whole search/ suggestion engine for IKEA and make it more personal and context driven. It should be more similar to the interaction with LLM:s, where the model already knows me, my family, our individual preferences, taste and room layout. I myself can specify what I and my family members like, creating different profiles to get different suggestions. The profile will change as the taste change based on my input. 

Instead of searching by objects and suggestion by hidden algorithms, you select who in your family you are shopping for and what you want to accomplish with your visit at IKEA. The site then presents the object that best match your objective and style, rendering the object directly in your room, making it easy to switch and compare how different objects fit in the right environment. 

Great concept if I may say, .... ehmm,...humblebrag. 
IKEA give us a call and we will build this for you. ? 

#AI #UX #IKEA #concept ",
"You uploaded a feed photo on September 11, 2025 at 12:50 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4D22AQEUDWeUjuwbZA/feedshare-image-high-res/B4DZk40_TFJcAo-/0/1757595039937?e=1779926400&v=beta&t=nzdsBWVruyR-tP7I_tJBJkCaISAnLvMoFbZMZCaz4uM
"You uploaded a feed photo on September 11, 2025 at 12:50 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4D22AQGooxBVBLGX5w/feedshare-image-high-res/B4DZk40_RNJIAo-/0/1757595039809?e=1779926400&v=beta&t=mbpPkEmokDjF_jaqGDjrDmHMVmO7O5g_Ram_ppqdXT4
"You uploaded a feed photo on September 11, 2025 at 12:50 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4D22AQFvJzBLwdNp0Q/feedshare-image-high-res/B4DZk40_RPIgAs-/0/1757595040632?e=1779926400&v=beta&t=cK8wEze3bg9clQEfb8pq6fjSbNn3t9x3JKhoE1nHBQY
"You uploaded a feed photo on September 8, 2025 at 9:58 AM (GMT)","? The oldest kid on the block
Two weeks is a short time but still enough to get (and give) a first impression. Were my fears of being totally obsolete justified. Did I really struggle to keep up with all the young bright minds? 

Not at all. 

Actually everything felt strangely familiar and not awkward at all. Still, I got some insights that made the transition from work to study smooth.

Embracing the beginners mindset
When it comes to design, I see myself as en expert with lot of experience, processes and opinions. This is both a blessing and a curse, because my mind is fixed in this area.?When it comes to coding, I?m like John Snow, know nothing. And I?m totally fine with that, no shame no gain. 

Age is just a number
Being the oldest in the class and even older than the majority of teachers can feel like a downer. But just because I?m an old, white man, I don?t need to act as an old, white man.?
If I don?t make my age a problem no one else will. Instead I make it my advantage. I know the shortcuts, how to be efficient and study smart. 

Make it count
Studying at my age is a big investment, both financial but also time wise. The opportunity cost must be worth the opportunity gain. I?m here for a reason with a clear goal: in two years become a powerful hybrid between design expertise and AI/ ML skills. I don?t need to waste time and energy on insecurities and wondering what to do with my life. I?m doing something meaningful right now. 


Use and don?t use AI
I have made AI my private tutor, explaining stuff I don?t understand, giving me assignments and sometimes even the right answers.?
There are temptations where AI is actually harmful, at least in the beginning where I?m supposed to just grind. Like autocompleting code instead of me practicing to write every command myself. It is so easy to just tab and autocomplete, so much faster and efficient. 

So I turned it off. For now.?It will come in handy when I actually know what I'm doing. 
",https://media.licdn.com/dms/image/v2/D4D22AQHWMkxA9iCzhA/feedshare-shrink_1280/B4DZkow286JMAs-/0/1757325521624?e=1779926400&v=beta&t=J9NDX_lk7MFy_w_cwLvtTf-WDRwJre_joJc4Rmw5mHc
"You uploaded a photo on August 31, 2025 at 6:18 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4D2CAQEcPxW8y7NqSg/comment-image-shrink_8192_800/B4DZkBWpzQIgAQ-/0/1756664340242?e=1779120000&v=beta&t=kZ1JYH4wXOO26-aAOb5Sf_32QtjME8BYPvCNJIVH4n0
"You uploaded a feed photo on August 19, 2025 at 10:21 AM (GMT)","So the master becomes a student. It feels? fun. A fresh start, a new beginning. I?m going to delve deep into the dark arts of AI and Machine learning.

It also feels a little bit nervous. How will my old ADHD brain keep up with all the youngsters? It will not be easy, programming and math are not my strong suite (yet). But hey, that?s what A1 is for, right ;-). The first thing I?m building is a private tutor that will help me to focus, plan and practice.

My return to school is actually twofold. Besides being a full time student, I?m also teaching two courses at Nackademin, one in Information architecture and one in Graphic Design and UI. Also here will AI be in the center. How and what to teach students that will still be relevant and valuable in two years?

So an exciting autumn ahead. I?ll keep you posted about my progress. 
Take care.",https://media.licdn.com/dms/image/v2/D4D22AQE4p-l0k0NsLQ/feedshare-image-high-res/B4DZjB2Yt5GkAs-/0/1755598917685?e=1779926400&v=beta&t=pj0YG4G_aeTQwoG0pRLYhMsEuxY7qMq2CfpZfCBaXrY
"You uploaded a feed photo on June 9, 2025 at 2:07 PM (GMT)","Being between jobs is not like being in a vacuum. It is a state and an experience, usually not a good one. But if we are pro's at designing experiences and job search is an experience, what is stopping us from making it to a good one? At least one that doesn't suck so bad. 

I would like to improve this situation, but I need your help with insights:
Let me know your process, what works, and what doesn't. Do you need more or less AI, and where? What are your biggest challenges and energy drains? What could a good job-search experience look like?

Want to make a difference?
Take this short survey and help me to find the biggest paint point that needs fixing: https://lnkd.in/dBfztjAA

Allergic to surveys??
No worries. Leave a comment with your reflections, or book a quick interview on my Calendly.?https://lnkd.in/dEHjvFty

We are designers. We can fix this. Together.",https://media.licdn.com/dms/image/v2/D4D22AQFVIyQPnfvghA/feedshare-shrink_160/B4DZdVBB_wGYAc-/0/1749478024477?e=1779926400&v=beta&t=pun-IDI36co3iYYFIuZcPByry5GGQ9hjZlZd80WInmQ
"You uploaded a feed photo on June 6, 2025 at 3:28 PM (GMT)","Is AI Actually the One Ring? ? 
(The AI dilemma)
I sometimes get swept up by the rapid pace of AI development and the endless new possibilities it offers. Every new demo or model feels like unlocking a superpower I just have to try. Several AI tools are deeply woven into my daily workflow?I honestly can?t imagine a day without them. The product I?m building wouldn?t even exist without AI.

In other areas of life, I try to make mindful choices: I buy organic or local food, I drive a gas-powered car but avoid flying, and I do my best to choose options that have a positive (or at least neutral) impact.

But when it comes to AI, I feel a bit like Boromir from The Fellowship of the Ring. I want to use this incredible power for good, but I?m not sure it?s possible. What if all my well-intended achievements are ultimately outweighed by AI?s negative side effects?

There?s no going back to a world without AI. The calls to pause development have been largely ignored. AI skills are now essential to land a job, and AI is being integrated into every product?whether it makes sense or not. Opting out is nearly impossible. And unlike in Tolkien?s story, there?s no Frodo to cast all the LLMs into Mount Doom.

So what do I actually want?
I want the ability to make good, informed choices. I want to understand the real costs of my actions and my use of AI. I want transparency, and I want options that let us choose a slower, more sustainable path. I want to be able to do more personally, to reclaim some power from the tech giants and investors who currently hold it all.

The path ahead feels more uncertain than ever. The only thing that?s becoming clearer is the risk of an environmental and economic crash long before we reach the promised land of AGI or Artificial Superintelligence.

It's time for me to dive deeper into Ethical AI and learn how the ring can become what we intended it be: great power with great responsibility. ",https://media.licdn.com/dms/image/v2/D4D22AQHqczwFxGaxDw/feedshare-shrink_160/B4DZdF285LGUAc-/0/1749223723042?e=1779926400&v=beta&t=1eD3OGD0zUV_2V4DCK9Kbn81PjFWFuELARrndHYhda0
"You uploaded a feed photo on June 5, 2025 at 9:03 AM (GMT)","My story and situation really resonated with people in a similar situation. (Link in the comments if you missed it and want to read it) They found it inspiring, and it gave them hope and strength to take their destiny into their own hands. But my story is not new; who cares about an old dude making a change? My story accidentally hit a nerve, pointing out what effects the ongoing disruption actually has. Here are three insights from the comments and DM:s.

The wall
There seems to be a time and place in a designer's (maybe everyone's) career when it just doesn?t lead anywhere. No new learnings, opportunities, or challenges. Mainly routine,?doing the same things, just more efficiently. If there is something designers hate, it?s routine. Switching company or roles might help, but it?s just pretty hard in times like these. There are no simple answers for this problem. Starting your own business has new, exciting challenges, but also big risks with no guarantees of success. 

Starting a company without experience
Young designers are struggling to get into the industry. Many junior roles are now replaced by AI, and there is fierce competition for those few jobs left. Starting your own business seems more and more like a valid option, even without the experience. It?s definitely going to be hard to find the first clients, a lot of free, hard work, and many mistakes along the way. Even if your product or business fails, you will have learned a lot more, gained business and collaboration skills, self-motivation and the ability to solve your own problems. 

The change
Winter is coming, there is no doubt about it. We just don?t know yet what is coming or what to do about it. There are no simple answers here either, no simple trick to make you irreplaceable at work.?My advice is to stay optimistic, be more open-minded, explore other options, learn new things, and just play with different scenarios. If you need to reboot, what would your life look like? What do you want to keep and what do you want to discard? 

Thanks a lot for these insights, all the comments and all the people who connected with me.?
If you want to continue the conversation, book a slot on my Calendly.?
https://lnkd.in/dEHjvFty

Good luck.?",https://media.licdn.com/dms/image/v2/D4D22AQEDffC6POldyg/feedshare-shrink_480/B4DZc_VJXaGYAY-/0/1749114198156?e=1779926400&v=beta&t=1dIRqH9pbD4T6T5ZOkdq_FaOlkykhNdtMbx5jR4uQUw
